round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.569216,0.714756,0.799823,0.846648,0.319767,0.000000,0.139785,0.450262,0.571429,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.559401,0.693336,0.229864,0.911944,0.328594,0.000000,0.090909,0.523765,0.523985,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.664350,0.532819,0.502775,0.846348,0.188679,0.000000,0.023810,0.604545,0.525283,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.667706,0.573707,0.664426,0.753004,0.334495,0.000000,0.135135,0.557769,0.519737,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.681916,0.568194,0.709075,0.704217,0.330645,0.000000,0.107477,0.336777,0.520833,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.694248,0.497939,0.343141,0.821241,0.316225,0.000000,0.102305,0.474411,0.529586,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.799003,0.423045,0.639683,0.509400,0.339585,0.000000,0.095851,0.004571,0.464516,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.556802,0.762108,0.904795,0.657343,0.318627,0.000000,0.134328,0.497409,0.585366,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.917401,0.284695,0.423506,0.020305,0.314286,0.000000,0.103560,0.016807,0.567164,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.625890,0.663483,0.829555,0.708775,0.349565,0.000000,0.046729,0.404624,0.524621,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.673593,0.571408,0.604664,0.677922,0.314047,0.000000,0.097989,0.387094,0.533252,0.000000,0,,N/A,N/A,312.40,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.526333,0.951512,0.950027,0.999212,0.997398,0.666667,0.589666,0.950257,0.779221,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.537780,0.940617,0.650667,0.996195,0.995270,0.565056,0.569343,0.947723,0.887097,0.171429,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.727290,0.860146,0.829971,0.994565,0.989474,0.384615,0.200913,0.926564,0.895270,0.588235,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.688947,0.878017,0.896783,0.996667,0.997904,0.584746,0.674464,0.949657,0.816038,0.083333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.568369,0.929834,0.908886,0.998152,0.999094,0.540541,0.553333,0.938028,0.871438,0.173913,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.619803,0.891059,0.730679,0.997596,0.999017,0.595745,0.771236,0.935855,0.759568,0.166667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.556337,0.922764,0.872932,0.998120,0.999096,0.500000,0.775236,1.000000,0.579710,0.604651,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.578329,0.941362,0.967822,0.996700,0.998542,0.545455,0.535652,0.941269,0.487805,0.696970,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.861310,0.758128,0.656616,1.000000,1.000000,0.588529,0.708571,0.800000,0.809783,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.584374,0.932338,0.943013,0.996183,0.998946,0.647887,0.446429,0.953947,0.888889,0.296296,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.624887,0.900578,0.840740,0.997339,0.997474,0.561924,0.582484,0.934330,0.777482,0.378149,0,,N/A,N/A,305.27,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,0.284215,0.948518,0.928449,0.992063,0.994836,0.039216,0.710059,0.998363,0.869159,0.564103,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.236862,0.966228,0.836364,0.989272,0.983271,0.892655,0.776786,0.996790,0.908108,0.101695,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.440204,0.889747,0.854167,0.994565,0.989691,0.610169,0.259067,0.996616,0.890023,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.368309,0.923276,0.922414,0.991625,0.997912,0.830303,0.783838,0.998909,0.864198,0.080000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.323631,0.932235,0.904856,0.991815,0.998192,0.538462,0.622222,0.998672,0.883420,0.166667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.355109,0.919011,0.765734,0.993058,0.996082,0.475410,0.841235,0.996133,0.835853,0.173913,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.314959,0.931315,0.872684,0.995761,0.999398,0.095238,0.824873,0.823529,0.723112,0.731707,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.345013,0.930043,0.945414,0.992265,0.998542,0.237288,0.608844,0.999260,0.677966,0.759494,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.493731,0.854084,0.777538,1.000000,1.000000,0.875458,0.758364,0.800000,0.851312,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.357552,0.921990,0.927926,0.991049,0.995276,0.643137,0.438503,0.998425,0.887165,0.285714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.351958,0.921645,0.873554,0.993147,0.995320,0.523734,0.662379,0.960670,0.839032,0.422926,0,,N/A,N/A,308.47,N/A,N/A,N/A,N/A,N/A,N/A,0
4,1,0.183572,0.974559,0.972222,0.996444,0.997412,0.076923,0.854305,0.998363,0.864865,0.709677,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.143643,0.979148,0.935849,0.993898,0.986916,0.933333,0.850679,0.998392,0.928760,0.146341,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,3,0.321867,0.927499,0.961039,0.997290,1.000000,0.760000,0.314136,0.996610,0.918919,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.263149,0.950431,0.970735,0.994992,0.997904,0.902821,0.850103,0.996721,0.868106,0.080000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.221601,0.963287,0.972673,0.995180,0.998492,0.722689,0.764992,0.998672,0.913858,0.200000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.250614,0.956280,0.923679,0.996692,0.998037,0.833333,0.912741,0.994561,0.841996,0.266667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.221328,0.964536,0.955079,0.997647,0.999247,0.375000,0.911896,1.000000,0.715481,0.739130,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.238302,0.971980,0.981279,0.997797,0.998542,0.392857,0.864754,0.996288,0.645161,0.784810,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.346489,0.922284,0.911504,1.000000,1.000000,0.936567,0.885609,1.000000,0.875346,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.247086,0.959602,0.980701,0.994904,0.996845,0.788991,0.592834,0.998420,0.913462,0.307692,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.243765,0.956961,0.956476,0.996484,0.997339,0.672252,0.780205,0.997803,0.848595,0.460029,0,,N/A,N/A,306.64,N/A,N/A,N/A,N/A,N/A,N/A,0
5,1,0.145273,0.985334,0.990613,0.998818,0.996540,0.250000,0.890365,0.998363,0.878261,0.785714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.115925,0.983001,0.965251,0.995430,0.988722,0.950549,0.866359,0.998392,0.940260,0.153846,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,3,0.274378,0.945517,0.992333,0.997290,1.000000,0.952381,0.338983,0.996610,0.937161,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.220313,0.959483,0.984989,0.994992,0.997904,0.936709,0.867220,0.996721,0.875878,0.080000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.184344,0.970664,0.988915,0.996296,0.998491,0.859813,0.774411,0.998672,0.922983,0.206897,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.219773,0.958968,0.955135,0.997295,0.998527,0.923077,0.913295,0.996121,0.829851,0.285714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.189676,0.968181,0.975132,0.999060,0.999246,0.666667,0.916092,1.000000,0.685149,0.708333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.185735,0.985897,0.992726,0.997797,0.998542,0.771930,0.905350,0.998519,0.646154,0.784810,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.297310,0.934179,0.954128,1.000000,1.000000,0.957643,0.890110,1.000000,0.868852,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.201002,0.971144,0.992919,0.996183,0.997370,0.925532,0.629139,0.998420,0.928087,0.307692,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,0.203373,0.966237,0.979214,0.997316,0.997534,0.819430,0.799132,0.998182,0.851264,0.467897,0,,N/A,N/A,314.10,N/A,N/A,N/A,N/A,N/A,N/A,0
6,1,0.209117,0.939838,0.904679,0.998818,0.998273,0.013793,0.791045,0.998363,0.864078,0.846154,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.122586,0.971442,0.808824,0.996386,0.988722,0.890585,0.763285,0.997586,0.870056,0.176471,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,3,0.452493,0.862720,0.802041,0.997290,1.000000,0.363636,0.267442,0.996610,0.861305,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0.316935,0.900862,0.890522,0.996667,0.997904,0.705336,0.798226,0.996721,0.829396,0.083333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,5,0.277871,0.915938,0.869948,0.998522,0.998792,0.318182,0.643110,0.998672,0.855034,0.250000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,6,0.322686,0.899839,0.714636,0.997897,0.998527,0.276786,0.798901,0.994561,0.835063,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,7,0.280058,0.915055,0.835243,0.999060,0.999397,0.041522,0.818912,1.000000,0.753927,0.739130,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,8,0.299196,0.901652,0.918892,0.997797,0.998542,0.092742,0.812065,0.995542,0.837209,0.784810,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,9,0.439412,0.856463,0.781316,1.000000,1.000000,0.887417,0.762295,1.000000,0.817073,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,10,0.319727,0.902687,0.901283,0.996183,0.997370,0.394794,0.603774,0.998420,0.862545,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,0.304008,0.906649,0.842738,0.997862,0.997753,0.398479,0.705905,0.997648,0.838569,0.491253,0,,N/A,N/A,309.06,N/A,N/A,N/A,N/A,N/A,N/A,0
7,1,0.132605,0.972763,0.959467,0.999606,0.999136,0.043478,0.881944,1.000000,0.878505,0.880000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,2,0.086461,0.983454,0.896296,0.997720,0.994350,0.943396,0.877358,0.998392,0.924731,0.206897,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,3,0.295456,0.916774,0.902564,0.997290,1.000000,0.727273,0.369427,0.999155,0.904922,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,4,0.208343,0.951724,0.957507,0.998336,0.997904,0.907463,0.871036,0.998909,0.880597,0.086957,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,5,0.183262,0.954538,0.940402,0.998892,0.999396,0.671233,0.744681,0.998672,0.897387,0.260870,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,6,0.217756,0.937287,0.796249,0.998499,0.999509,0.746988,0.875862,0.996899,0.854031,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,7,0.187264,0.952061,0.902928,0.999530,0.999548,0.230769,0.883446,1.000000,0.763466,0.755556,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,8,0.181658,0.967155,0.974751,0.997797,0.998542,0.300654,0.885393,1.000000,0.754717,0.784810,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,9,0.296195,0.909596,0.858974,1.000000,1.000000,0.957143,0.847195,1.000000,0.872832,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,10,0.201669,0.953831,0.965222,0.998095,0.998420,0.736842,0.654545,1.000000,0.899160,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,MEAN,0.199067,0.949918,0.915436,0.998577,0.998680,0.626524,0.789089,0.999203,0.863035,0.500772,0,,N/A,N/A,310.32,N/A,N/A,N/A,N/A,N/A,N/A,0
8,1,0.139965,0.959892,0.932501,0.999212,0.999136,0.022727,0.886598,1.000000,0.888889,0.846154,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,2,0.088009,0.979374,0.860377,0.996958,0.992495,0.925926,0.854545,0.999197,0.897507,0.206897,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,3,0.331389,0.885457,0.851546,0.997290,1.000000,0.487805,0.335135,0.999155,0.875719,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,4,0.219522,0.934052,0.927181,0.998336,1.000000,0.826087,0.871369,1.000000,0.848958,0.090909,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,5,0.195826,0.937210,0.908300,0.998522,0.999094,0.460094,0.726974,0.998672,0.871693,0.260870,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,6,0.219908,0.932987,0.766178,0.997897,0.998527,0.574074,0.882030,0.996899,0.849188,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,7,0.187041,0.944912,0.870968,0.999060,0.999548,0.101695,0.895175,1.000000,0.778947,0.755556,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,8,0.194797,0.939692,0.949569,0.997797,0.998542,0.150327,0.896247,1.000000,0.837209,0.794872,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,9,0.311830,0.898493,0.835498,1.000000,1.000000,0.943662,0.848485,1.000000,0.840841,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,10,0.221685,0.925771,0.931789,0.996821,0.997895,0.515581,0.642140,1.000000,0.871201,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,MEAN,0.210997,0.933784,0.883391,0.998189,0.998524,0.500798,0.783870,0.999392,0.856015,0.498789,0,,N/A,N/A,316.20,N/A,N/A,N/A,N/A,N/A,N/A,0
9,1,0.103741,0.983239,0.979341,0.999606,1.000000,0.060606,0.935897,0.998363,0.915888,0.846154,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,2,0.073748,0.986854,0.976378,0.998481,1.000000,0.951087,0.862069,0.998392,0.927224,0.206897,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,3,0.258196,0.928786,0.984444,0.997290,1.000000,0.769231,0.328767,0.996610,0.918650,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,4,0.171209,0.965517,0.986282,0.998336,1.000000,0.926829,0.902724,0.997817,0.888889,0.090909,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,5,0.150402,0.967576,0.982821,0.999261,0.999698,0.753846,0.779300,0.998672,0.912905,0.260870,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,6,0.158192,0.971510,0.948847,0.998800,1.000000,0.815789,0.945613,0.996121,0.890365,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,7,0.132830,0.979114,0.968878,0.999530,0.999548,0.307692,0.956725,1.000000,0.826196,0.755556,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,8,0.143197,0.982000,0.986762,0.997797,0.998542,0.407080,0.971660,0.997033,0.909091,0.794872,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,9,0.231488,0.944489,0.976190,1.000000,1.000000,0.965766,0.910683,1.000000,0.869565,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,10,0.168739,0.963184,0.986741,0.999366,0.999473,0.801762,0.623145,0.998420,0.911375,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,MEAN,0.159174,0.967227,0.977668,0.998847,0.999726,0.675969,0.821658,0.998143,0.897015,0.498789,0,,N/A,N/A,312.22,N/A,N/A,N/A,N/A,N/A,N/A,0
10,1,0.106011,0.977851,0.970033,1.000000,1.000000,0.055556,0.878378,0.998363,0.907407,0.880000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,2,0.074170,0.984361,0.949416,0.998671,1.000000,0.945946,0.818966,0.995971,0.921409,0.214286,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,3,0.280105,0.921493,0.967033,0.997290,1.000000,0.727273,0.296296,0.994907,0.913841,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,4,0.181507,0.952155,0.969220,0.998336,1.000000,0.910180,0.849699,0.996721,0.873096,0.090909,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,5,0.158624,0.956596,0.960412,0.999261,0.999698,0.666667,0.707200,0.998672,0.902236,0.260870,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,6,0.184355,0.944275,0.837168,0.998800,1.000000,0.815789,0.881639,0.991426,0.869469,0.333333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,7,0.150360,0.959770,0.919765,0.999530,0.999548,0.244898,0.902299,1.000000,0.800000,0.790698,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,8,0.143205,0.971238,0.978869,0.998900,0.999271,0.343284,0.880694,0.994796,0.808511,0.826667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,9,0.260749,0.912768,0.894737,1.000000,1.000000,0.964029,0.840149,1.000000,0.850440,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,10,0.173145,0.956219,0.978593,0.999366,0.999473,0.748971,0.583587,0.996835,0.902456,0.347826,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,MEAN,0.171223,0.953673,0.942525,0.999015,0.999799,0.642259,0.763891,0.996769,0.874887,0.511056,0,,N/A,N/A,307.58,N/A,N/A,N/A,N/A,N/A,N/A,0
11,1,0.133613,0.967674,0.949617,0.999606,0.999136,0.042553,0.816479,1.000000,0.880383,0.880000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,2,0.087608,0.978241,0.814815,0.997911,0.996234,0.938338,0.785340,1.000000,0.900552,0.214286,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,3,0.399966,0.900043,0.843327,0.997290,1.000000,0.645161,0.380165,1.000000,0.886739,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,4,0.236908,0.938362,0.934438,0.998336,1.000000,0.896755,0.826185,1.000000,0.851282,0.090909,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,5,0.217721,0.944759,0.908885,0.998892,0.999698,0.579882,0.724806,1.000000,0.889034,0.272727,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,6,0.299698,0.912919,0.714835,0.999400,1.000000,0.466165,0.817096,0.999227,0.860386,0.400000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,7,0.235219,0.935520,0.864725,1.000000,1.000000,0.129032,0.830660,1.000000,0.779747,0.871795,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,8,0.167692,0.961960,0.970451,0.998900,0.998542,0.272189,0.830986,1.000000,0.800000,0.826667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,9,0.402321,0.876289,0.804000,1.000000,1.000000,0.927336,0.778243,1.000000,0.847761,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,10,0.225648,0.945672,0.948597,0.999366,1.000000,0.702703,0.669456,1.000000,0.879484,0.363636,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,MEAN,0.240639,0.936144,0.875369,0.998970,0.999361,0.560011,0.745942,0.999923,0.857537,0.528599,0,,N/A,N/A,311.39,N/A,N/A,N/A,N/A,N/A,N/A,0
12,1,0.173752,0.948219,0.921613,1.000000,1.000000,0.017857,0.707819,1.000000,0.894231,0.880000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,2,0.104995,0.973935,0.739274,1.000000,1.000000,0.902062,0.732240,0.995161,0.878873,0.285714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,3,0.469486,0.889318,0.810127,1.000000,1.000000,0.449438,0.352941,0.998308,0.887372,0.842105,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,4,0.308517,0.912069,0.903860,1.000000,1.000000,0.761905,0.750617,0.996721,0.865823,0.095238,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,5,0.267388,0.931034,0.886669,1.000000,1.000000,0.384314,0.665263,0.997340,0.884389,0.300000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,6,0.408322,0.886759,0.686884,1.000000,1.000000,0.248000,0.741142,0.996899,0.855543,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,7,0.326571,0.906784,0.834137,1.000000,1.000000,0.045627,0.745211,1.000000,0.761905,0.871795,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,8,0.221053,0.931527,0.947468,1.000000,0.999271,0.143750,0.737913,0.994796,0.800000,0.837838,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,9,0.531290,0.850119,0.770459,1.000000,1.000000,0.881579,0.714607,1.000000,0.854599,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,10,0.276052,0.925970,0.923583,1.000000,1.000000,0.505556,0.632558,1.000000,0.876437,0.380952,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
