round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,168160634.9236849,byzantine,TP,34241,1.7863158336634632,,10.0
1,2,178564579.50635397,byzantine,TP,35505,1.7442612248982086,,10.0
1,3,15869.224295537682,honest,TN,39114,1.6076523068409918,,10.0
1,4,55058.58104882265,honest,TN,42169,1.7842095492947863,,10.0
1,5,36116.23815382761,honest,TN,36716,1.8101028773254908,,10.0
1,6,15458.149939308287,honest,TN,38633,1.6108617585625957,,10.0
1,7,17123.602369900007,honest,TN,39300,1.7703299570917084,,10.0
1,8,62490.22370647246,honest,TN,42493,1.7500775720026098,,10.0
1,9,15454.873597162446,honest,TN,38652,1.6970662311436038,,10.0
1,10,36125.19971156801,honest,TN,36727,1.7530830128251993,,10.0
2,1,759309000.19905,byzantine,TP,34241,1.7863158336634632,,10.0
2,2,781247222.8971784,byzantine,TP,35505,1.7442612248982086,,10.0
2,3,15772.444909964524,honest,TN,39114,1.6076523068409918,,10.0
2,4,54967.48527316273,honest,TN,42169,1.7842095492947863,,10.0
2,5,36018.826088927846,honest,TN,36716,1.8101028773254908,,10.0
2,6,15377.492696852327,honest,TN,38633,1.6108617585625957,,10.0
2,7,17019.100444772284,honest,TN,39300,1.7703299570917084,,10.0
2,8,62416.08071545802,honest,TN,42493,1.7500775720026098,,10.0
2,9,15369.15069146069,honest,TN,38652,1.6970662311436038,,10.0
2,10,36022.345770055035,honest,TN,36727,1.7530830128251993,,10.0
3,1,1776236492.9097958,byzantine,TP,34241,1.7863158336634632,,10.0
3,2,1809710225.79732,byzantine,TP,35505,1.7442612248982086,,10.0
3,3,15790.15053374874,honest,TN,39114,1.6076523068409918,,10.0
3,4,54962.04173028053,honest,TN,42169,1.7842095492947863,,10.0
3,5,36124.76218507516,honest,TN,36716,1.8101028773254908,,10.0
3,6,15382.168637049956,honest,TN,38633,1.6108617585625957,,10.0
3,7,17037.57886199612,honest,TN,39300,1.7703299570917084,,10.0
3,8,62413.17351617619,honest,TN,42493,1.7500775720026098,,10.0
3,9,15388.16152249044,honest,TN,38652,1.6970662311436038,,10.0
3,10,36030.38251598626,honest,TN,36727,1.7530830128251993,,10.0
4,1,3218950874.3641148,byzantine,TP,34241,1.7863158336634632,,10.0
4,2,3263952926.2808714,byzantine,TP,35505,1.7442612248982086,,10.0
4,3,15767.972409952617,honest,TN,39114,1.6076523068409918,,10.0
4,4,54962.66057674981,honest,TN,42169,1.7842095492947863,,10.0
4,5,36021.6395455258,honest,TN,36716,1.8101028773254908,,10.0
4,6,15366.910012231732,honest,TN,38633,1.6108617585625957,,10.0
4,7,17013.488205853646,honest,TN,39300,1.7703299570917084,,10.0
4,8,62424.66708656314,honest,TN,42493,1.7500775720026098,,10.0
4,9,15364.187530587427,honest,TN,38652,1.6970662311436038,,10.0
4,10,36016.05727468098,honest,TN,36727,1.7530830128251993,,10.0
5,1,5087437427.987235,byzantine,TP,34241,1.7863158336634632,,10.0
5,2,5143975202.157678,byzantine,TP,35505,1.7442612248982086,,10.0
5,3,15770.232270296423,honest,TN,39114,1.6076523068409918,,10.0
5,4,54964.3618249219,honest,TN,42169,1.7842095492947863,,10.0
5,5,36031.60335425044,honest,TN,36716,1.8101028773254908,,10.0
5,6,15369.998689796246,honest,TN,38633,1.6108617585625957,,10.0
5,7,17016.476825843067,honest,TN,39300,1.7703299570917084,,10.0
5,8,62412.247067562355,honest,TN,42493,1.7500775720026098,,10.0
5,9,15365.963534222288,honest,TN,38652,1.6970662311436038,,10.0
5,10,36019.801761073424,honest,TN,36727,1.7530830128251993,,10.0
6,1,7381697400.089763,byzantine,TP,34241,1.7863158336634632,,10.0
6,2,7449776004.514377,byzantine,TP,35505,1.7442612248982086,,10.0
6,3,15769.228851739606,honest,TN,39114,1.6076523068409918,,10.0
6,4,54961.85859664336,honest,TN,42169,1.7842095492947863,,10.0
6,5,36013.019293119774,honest,TN,36716,1.8101028773254908,,10.0
6,6,15362.544853334606,honest,TN,38633,1.6108617585625957,,10.0
6,7,17012.377019298016,honest,TN,39300,1.7703299570917084,,10.0
6,8,62411.5418023293,honest,TN,42493,1.7500775720026098,,10.0
6,9,15362.470592914582,honest,TN,38652,1.6970662311436038,,10.0
6,10,36016.643442802466,honest,TN,36727,1.7530830128251993,,10.0
7,1,10101744944.864265,byzantine,TP,34241,1.7863158336634632,,10.0
7,2,10181358601.353554,byzantine,TP,35505,1.7442612248982086,,10.0
7,3,15819.375412501051,honest,TN,39114,1.6076523068409918,,10.0
7,4,54984.99444002722,honest,TN,42169,1.7842095492947863,,10.0
7,5,36047.52576732682,honest,TN,36716,1.8101028773254908,,10.0
7,6,15400.393860028595,honest,TN,38633,1.6108617585625957,,10.0
7,7,17057.013805654322,honest,TN,39300,1.7703299570917084,,10.0
7,8,62438.627418435804,honest,TN,42493,1.7500775720026098,,10.0
7,9,15448.81573532993,honest,TN,38652,1.6970662311436038,,10.0
7,10,36087.35605986373,honest,TN,36727,1.7530830128251993,,10.0
8,1,13247570619.12987,byzantine,TP,34241,1.7863158336634632,,10.0
8,2,13338723391.170046,byzantine,TP,35505,1.7442612248982086,,10.0
8,3,15802.890660273195,honest,TN,39114,1.6076523068409918,,10.0
8,4,54960.39358229847,honest,TN,42169,1.7842095492947863,,10.0
8,5,36140.20713059227,honest,TN,36716,1.8101028773254908,,10.0
8,6,15381.436532274727,honest,TN,38633,1.6108617585625957,,10.0
8,7,17036.069498193472,honest,TN,39300,1.7703299570917084,,10.0
8,8,62412.982455655365,honest,TN,42493,1.7500775720026098,,10.0
8,9,15380.457231702556,honest,TN,38652,1.6970662311436038,,10.0
8,10,36031.33577745415,honest,TN,36727,1.7530830128251993,,10.0
9,1,16819176500.96733,byzantine,TP,34241,1.7863158336634632,,10.0
9,2,16921861210.568314,byzantine,TP,35505,1.7442612248982086,,10.0
9,3,15765.44344812604,honest,TN,39114,1.6076523068409918,,10.0
9,4,54959.6587612117,honest,TN,42169,1.7842095492947863,,10.0
9,5,36009.74656286726,honest,TN,36716,1.8101028773254908,,10.0
9,6,15359.092387415436,honest,TN,38633,1.6108617585625957,,10.0
9,7,17011.319856541522,honest,TN,39300,1.7703299570917084,,10.0
9,8,62420.601383486224,honest,TN,42493,1.7500775720026098,,10.0
9,9,15362.47782892219,honest,TN,38652,1.6970662311436038,,10.0
9,10,36019.22438255708,honest,TN,36727,1.7530830128251993,,10.0
10,1,20816562411.448837,byzantine,TP,34241,1.7863158336634632,,10.0
10,2,20930780700.480515,byzantine,TP,35505,1.7442612248982086,,10.0
10,3,15773.027944840935,honest,TN,39114,1.6076523068409918,,10.0
10,4,54963.323618513445,honest,TN,42169,1.7842095492947863,,10.0
10,5,36013.67978771519,honest,TN,36716,1.8101028773254908,,10.0
10,6,15361.60671165715,honest,TN,38633,1.6108617585625957,,10.0
10,7,17015.0648826973,honest,TN,39300,1.7703299570917084,,10.0
10,8,62413.990408009166,honest,TN,42493,1.7500775720026098,,10.0
10,9,15363.732745560097,honest,TN,38652,1.6970662311436038,,10.0
10,10,36021.92465955083,honest,TN,36727,1.7530830128251993,,10.0
11,1,25239731739.189144,byzantine,TP,34241,1.7863158336634632,,10.0
11,2,25365483284.565117,byzantine,TP,35505,1.7442612248982086,,10.0
11,3,15768.735819738176,honest,TN,39114,1.6076523068409918,,10.0
11,4,54961.11875981503,honest,TN,42169,1.7842095492947863,,10.0
11,5,36013.872095166,honest,TN,36716,1.8101028773254908,,10.0
11,6,15362.016490482787,honest,TN,38633,1.6108617585625957,,10.0
11,7,17013.364690072543,honest,TN,39300,1.7703299570917084,,10.0
11,8,62411.33832250089,honest,TN,42493,1.7500775720026098,,10.0
11,9,15367.90249483078,honest,TN,38652,1.6970662311436038,,10.0
11,10,36024.61108101522,honest,TN,36727,1.7530830128251993,,10.0
12,1,30088674228.01122,byzantine,TP,34241,1.7863158336634632,,10.0
12,2,30225963151.938385,byzantine,TP,35505,1.7442612248982086,,10.0
12,3,15818.18902034887,honest,TN,39114,1.6076523068409918,,10.0
12,4,55018.652370663134,honest,TN,42169,1.7842095492947863,,10.0
12,5,36050.78486505205,honest,TN,36716,1.8101028773254908,,10.0
